"Title","Year","Source title","DOI","Link","Abstract","Document Type","Publication Stage","Source"
"Shot boundary detection using logarithmic intensity histogram: An application for video retrieval","2017","International Journal of Applied Engineering Research","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057641483&partnerID=40&md5=aa098b5e73b0628eb21a12d0a8334727","This paper presents automated shot boundary detection for video retrieval applications that exploits the logarithmic histogram of intensity to extract intensity histogram features from video frames. The proposed algorithm has the main purpose of identifying appropriate boundaries between shots of a video. In the first step, logarithmic histogram of the video frame is obtained with mapping of pixel intensity to an appropriate logarithmic level. This quantization process maps the image features into logarithmic histogram. To find shot boundaries between video frames, video frames are compared sequentially using logarithmic histogram and absolute difference. Extreme change between content of two successive frames considered if higher value of disparity is obtained. In lieu of statistical threshold, frame rate is used for identifying shot boundaries. If detected video shot having frames less than frame rate then boundary is not considered as a shot boundary and frames are clubbed with previously detected shot. Videos from various categories like sports, news and cartoon are used to evaluate the performance of proposed technique. It shows significant detection of boundaries having sharp transition. Method evaluated with 30 video sets and it is observed method performs very well with good rate of Hit and lesser number of Miss. As threshold is frame rate, it performs very well even in case of gradual shot boundaries. Proposed algorithm has also been evaluated on standard database TRECVID 2001 with good figure of Recall and Precision. Its performance is evaluated using on video retrieval application with 24Video sets from three different categories sports, Cartoons and News. © Research India Publications.","Article","Final","Scopus"
"Autonomous system for rapid airfield assessment","2017","AIAA Information Systems-AIAA Infotech at Aerospace, 2017","10.2514/6.2017-1158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088772525&doi=10.2514%2f6.2017-1158&partnerID=40&md5=97d375c5185f11d2d755e504211dcc66","Regenerating sorties after an airfield has been attacked is a significant concern for the United States Air Force. Growing power projection and strike capabilities of potential adversaries place existing air bases susceptible to attack and accompanying damage. Even un-sophisticated attacks can render an airfield inoperable for many hours, and prevent the launch of aircraft during a conflict. Therefore, technologies were sought to improve the ability to return an airbase to a minimum acceptable operational capability after such an attack. When damage is incurred, the local forces perform an assessment of the runway, dispose of unexploded ordnance (UXO), then perform repairs. This work focuses on applying advanced autonomous technologies to improve the post-strike assessment task, which may provide the greatest return on investment in reducing total airfield down-time. A system is proposed consisting of a team of quad-rotor unmanned aerial vehicles (UAVs) with thermal and optical sensors to identify recent damage. This system is shown, through analysis and scaled testing to decrease the airfield assessment time by 80%. © 2017, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.","Conference paper","Final","Scopus"
"Stereo matching algorithm based on double components model","2017","Proceedings of SPIE - The International Society for Optical Engineering","10.1117/12.2285260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045547954&doi=10.1117%2f12.2285260&partnerID=40&md5=b34122d119fed03873d46cef36d30d75","The tiny wires are the great threat to the safety of the UAV flight. Because they have only several pixels isolated far from the background, while most of the existing stereo matching methods require a certain area of the support region to improve the robustness, or assume the depth dependence of the neighboring pixels to meet requirement of global or semi global optimization method. So there will be some false alarms even failures when images contains tiny wires. A new stereo matching algorithm is approved in the paper based on double components model. According to different texture types the input image is decomposed into two independent component images. One contains only sparse wire texture image and another contains all remaining parts. Different matching schemes are adopted for each component image pairs. Experiment proved that the algorithm can effectively calculate the depth image of complex scene of patrol UAV, which can detect tiny wires besides the large size objects. Compared with the current mainstream method it has obvious advantages. © 2018 SPIE.","Conference paper","Final","Scopus"
"Zastosowanie archeologii lotniczej w pos zukiwaniu grobowców kujawskich na obszarze poludniowych Kujaw","2017","Acta Archaeologica Lodziensia","10.26485/AAL/2017/63/10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059777748&doi=10.26485%2fAAL%2f2017%2f63%2f10&partnerID=40&md5=676b03cf327e6d46ba165fbf97e5d347","Between August 2014 and July 2017, the Konrad Jazdzewski Foundation of Archaeological Research conducted a series of aerial surveys, which aimed to re-examine the location of the Kuyavian long barrows, known from archival sources. Over a dozen of the barrows were explored by professor Konrad Jazdzewski in the 1930s. The other ones are now completely levelled. The aerial survey was carried out on the area of the following villages: Obalki, Leœniczówka (currently Arciszewo), Lubomin, Smiely, and £ania (c.f W. Chmielewski 1952). In the summer of 2015, a survey over the valley of the Zglowiaczka river was conducted. It encompassed the villages of Dêby Janiszewskie and Janiszewo, which according to descriptions, contained numerous Kuyavian long barrows. The aerial surveys in search of Kuyavian long barrows are still in progress. Until now, almost 130 flights have been made, which resulted in nearly 7500 photographs taken. On the basis of the obtained results, it seems that the applied method is very effective. Thanks to the flights over Izbica Kujawska and Lubraniec, it was possible to locate 17 long barrows cemeteries at Dêby Janiszewskie, Janiszewo, Leœniczówka, Lubomin, Oba3;ki, Œmie3;y and £ania. The results obtained are relevant from the point of view of conservation works. As the long barrows are situated on arable land, they are gradually being destroyed and threatened with obliteration. © 2017 Lódzkie Towarzystwo Naukowe.","Article","Final","Scopus"
"Recent trends in electrical drones in alive technology","2017","Journal of Advanced Research in Dynamical and Control Systems","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053464386&partnerID=40&md5=2da35f0c2530a614b13b701c8bda06ab","This paper deals with Unmanned Ariel Vehicle (UAV), also called as Drone, an aerial vehicle, uses aerodynamic forces to lift the vehicle, can fly automatically or by remote operation, which doesn’t carry human in it. That can be expendable or recoverable and can carry a lethal or nonlethal payload. It can be operated by remote control of a pilot on the ground or autonomously by onboard computers. Currently, its usage is limited due to its cost and satellite communication. A Drone has been built that can send live audio-visual feedback and operated by radio frequency controller. In early days, Drones are also using in military applications such as spying on both domestic and international threats. The areas that the developed drone can be used for are policing, agriculture, monitoring flood-affected areas firefighting, recording video footage from impassable to reach areas and both military and non-military security operation work. Android mobile device incorporation with GPS has been used for real-time audiovisual feedback from the drone and for live position tracking of drone. © 2017, Institute of Advanced Scientific Research, Inc.. All rights reserved.","Article","Final","Scopus"
"Observations from the design, construction and drone monitoring of a geotextile sand container (GSC) seawall","2017","Australasian Coasts and Ports 2017 Conference","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055099489&partnerID=40&md5=2711686a5cddc800c3f1ed7c28527489","The coastline of the Central Coast Council (Council) region located north of Sydney is a highly valued asset as it supports significant economic activity. In mid-2015 following a major storm event, Council identified that coastal erosion was causing an immediate hazard to The Esplanade despite substantial beach scraping. The Esplanade was deemed to be at imminent threat of collapse into the ocean which necessitated the closure of this beachfront road. The Water Research Laboratory (WRL) of UNSW Sydney proposed the design of an interim geotextile sand container (GSC) seawall to mitigate further erosion which is outlined in this paper along with details of its construction. Ongoing monitoring, using UAS (unmanned aerial system or drone) surveying provided a cost-effective monitoring solution and allowed for coastal engineering analysis of sediment transport in the vicinity of the seawall. Based on visual observations and analysis of the data, the seawall combined with beach scraping has thus far been successful at managing the risk of the road being undermined. However, the underlying natural tendency for erosion at this site may continue which could require additional coastal engineering works. © Australasian Coasts and Ports 2017 Conference. All rights reserved.","Conference paper","Final","Scopus"
"Autonomous flight in GPS-challenging environments exploiting multi-UAV cooperation and vision-aided navigation","2017","AIAA Information Systems-AIAA Infotech at Aerospace, 2017","10.2514/6.2017-0879","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088063046&doi=10.2514%2f6.2017-0879&partnerID=40&md5=7be61e4e18e5eda0518702be15dd5862","This paper presents an algorithm that allows an Unmanned Aerial Vehicle (UAV) to safely fly in GPS-Challenging environments exploiting cooperative and vision-based navigation techniques. In particular, a sensor fusion approach based on the Extended Kalman Filter (EKF) is presented, in which measurements from on-board inertial sensors and magnetometers are integrated with information provided by cooperative UAVs (namely GPS-based position), vision-based tracking, and monocular pose estimation. The performance of the proposed approach has been evaluated on the basis of numerical simulations. Achieved results show the potential of combining both multi-UAV and vision-based navigation approaches where one technique can compensate for the limits of the other, improving the overall navigation performance. © 2017, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.","Conference paper","Final","Scopus"
"Amphibious operations for US and ROK combined forces","2017","Journal of Engineering and Applied Sciences","10.3923/jeasci.2017.8646.8651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047489762&doi=10.3923%2fjeasci.2017.8646.8651&partnerID=40&md5=b9d3952179f123bfcf8c8753ef0b5895","We study an amphibious operation involving the US marine for combined forces in Korea and the Advanced Combat Direction System (ACDS) and command and control Automated Data Processing (ADP) systems. The ACDS which was proposed in the late 1970's is a centralized, automated command-and-control system and it upgrades the NTDS for aircraft carriers and large-deck amphibious ships. Former NTDs collected information from ship's active and passive sensors, correlates hostile tracks and provided an integrated display of air, surface and subsurface situations for the ships operations officer. The NTDS was located in the ship's combat information center. There are two basic steps to the upgrade of the Combat Direction System (CDS) systems currently employed on ships. We discuss two basic steps and amphibious operations for combined forces in Korea. The rogue North Korean regime is plowing ahead with its missile technology and there are escalating threats in Korea Peninsula. US and ROK combined forces may decide to establish a functional component command to integrate planning and to improve combat efficiency significantly by use of amphibious operations. The ACDS replaced the NTDS (Naval Tactical Data System) due to growth in operational requirements both in the areas of combat direction needs and Battle Group/Battle Force (BG/BF) command and control. An amphibious operation is a military operation which uses maneuver principles to transition ready-to-fight combat forces from the sea to the shore in order to obtain an advantage over a hostile nation. Interoperable information systems to provide timely dissemination of information for amphibious planning, rehearsals and execution are required. Amphibious operations require a flexible communications system to support rapid decision making and to maintain a high tempo of operations. It must be reliable, sufficient for the mission, flexible, sustainable and survivable. © Medwell Journals, 2017.","Article","Final","Scopus"
"Clean sea: From R&D to business application","2017","Offshore Mediterranean Conference and Exhibition 2017, OMC 2017","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051527742&partnerID=40&md5=588f0144bfb1b240425b62f39dd9db0d","Clean Sea is an underwater robot developed by Eni and Tecnomare (since January 1st, 2017 renamed EniProgetti) for Environmental Monitoring and Asset Integrity in oil & gas offshore installations. It is composed of a commercial hybrid ROV/AUV and a set of interchangeable payloads that feature a common power & data interface for data logging and intelligent autonomous mission online reprogramming, according to payload measurements or other external events. Clean Sea technology had been validated in extensive trials carried out in simulated and real oil & gas scenarios in 2014 and 2015: Lake Vattern (Sweden), Barents Sea, Caspian Sea, Mediterranean Sea. In 2015, Clean Sea system had completed the transition from research to operational applications with two pipeline network surveys in the Mediterranean Sea. Results obtained show high value of the technology developed by R&D, especially in terms of improved environmental monitoring and protection, high versatility thanks to the payload modularity, low logistics requirements with significant cost savings. Future offshore campaign are encouraged by the great number of available functionalities and new functionalities that may be combined to get the best possible result according to business needs. Considering two Clean Sea systems deployed in 2016, Eni is now in a position to better monitor its offshore installation and surrounding marine environment. The Mediterranean Sea and West Africa, where Eni directly operates its offshore installations, are the first locations where Eni has started using Clean Sea. A dedicated team has been set-up, trained and based in EniMed, Eni's subsidiary operating in Mediterranean area, who will manage Operating & Maintenance activities of the Clean Sea system. The Clean Sea team will be in charge of all offshore campaigns to guarantee a full exploitation of this Eni-patented new technology. © 2018 SPE All rights reserved.","Conference paper","Final","Scopus"
"Drones and the Principles of Jus in Bello","2017","New Security Challenges","10.1057/978-1-137-53380-7_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144725476&doi=10.1057%2f978-1-137-53380-7_5&partnerID=40&md5=efcfba0c243c1aaa8af7c43ca7144b58","This chapter discusses three moral advantages of drones when they are evaluated using the jus in bello principles of discrimination and proportionality. First, because drones obviate the need to act in self-defense, they may be subjected to strict Rules of Engagement (ROE). Second, drones lower the costs of acting with restraint. Although unmanned vehicles are at a heightened risk of being damaged or destroyed if they are subjected to stricter ROE, their destruction does not carry the same risk of provoking casualty aversion as the loss of human soldiers. Third, drones make it easier to visually identify prospective targets before attacking them. This may help to prevent attacks on civilians or allied soldiers. © 2017, The Author(s).","Book chapter","Final","Scopus"
