"Title","Year","Source title","DOI","Link","Abstract","Document Type","Publication Stage","Source"
"Hardware trojan enabled denial of service attack on CAN bus","2018","Procedia Manufacturing","10.1016/j.promfg.2018.10.158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080970747&doi=10.1016%2fj.promfg.2018.10.158&partnerID=40&md5=fd093abebf8b81ecd88ee22d08302a1b","The trend of technological advances in the vehicle industry illustrates that future cars would have added functionalities with smart features, better connectivity and autonomous behaviour. These naturally involve a higher number of Electronic Control Units (ECUs) being connected using existing conventional in-vehicle network protocols such as Controller Area Network (CAN). In this context, security of systems is now becoming a major concern while industry's primary interest in the manufacturing of cars is reliability and safety. It is now in daily news that smart cars are being hacked due to weaknesses in their embedded electronics that provides ways of hardware attacks [1] [2]. Hardware Trojan (HT) is the threat that has been recently recognised as one of the primary sources of backdoor access that enables hackers to attack systems. As trouble, HT remains silent until a rare function/event triggers it for activation. This paper contributes to the challenge of demonstration of disruption in CAN buses raised from hidden Hardware Trojan. In this regard, it is presented how just a small size Hardware Trojan disrupts the CAN bus communication without an adversary having physical access to the bus. The attack is neither detectable via frame analysis, nor can be prevented via network segmentation; additionally, a rare triggering mechanism activates HT to process untraceable faults. © 2018 The Authors. Published by Elsevier B.V.","Conference paper","Final","Scopus"
"Airborne visual tracking for cooperative UAV swarms","2018","AIAA Information Systems-AIAA Infotech at Aerospace, 2018","10.2514/6.2018-0712","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141615701&doi=10.2514%2f6.2018-0712&partnerID=40&md5=257b459c3e5fccecd7b7b9e447d92f2d","This paper presents processing architectures and algorithms for airborne visual tracking in cooperative scenarios, such as the ones relevant to vision-aided swarming of Unmanned Aerial Vehicles. While in the considered applications it is possible to exploit a priori information relevant to the physical configuration of the target UAVs, and coarse knowledge of the relative position among aircraft, significant requirements exist in terms of the tradeoff between false positives and missed detections. The focus is set on medium/large distances among UAVs, and the presented solution combines adaptive template matching and morphological filtering to achieve reliable performance for variable background and illumination conditions. In order to minimize requirements related to computational load and vision system performance (e.g., minimum frame rate), navigation and cooperative information is used within the tracking algorithm. The adopted approach is tested on experimental data acquired in multi-UAV flight tests. First results demonstrate the potential of fusing information derived from cameras, onboard sensors, and target navigation system. © 2018, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.","Conference paper","Final","Scopus"
"Are drones a useful counterterrorism tool?","2018","Contemporary Debates on Terrorism, 2nd Edition","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137431441&partnerID=40&md5=59c5ba8a7d3e90445380b2fbc5c5e422","Drone technology is not a revolutionary concept. Also known as Unmanned Aerial Vehicles (UAV), in addition to many other terms, by the US Air Force, drone technology has been around since 22 August 1849 (if we are referring to a physical vessel that does not need a staff to fly it). The Austrians were the first to use a balloon filled with 200 pounds of explosives to attack the Venetians in their quest for independence from Austria. This event was the first use of a weapon that was not physically manned by a person. © 2012; 2018 selection and editorial material, Richard Jackson and Daniela Pisoiu.","Book chapter","Final","Scopus"
"LightByte: Communicating Wirelessly with an Underwater Robot using Light","2018","ICINCO 2018 - Proceedings of the 15th International Conference on Informatics in Control, Automation and Robotics","10.5220/0006855202990306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071514260&doi=10.5220%2f0006855202990306&partnerID=40&md5=ec4d4b61a8a56db3124a7c0a6b6875e9","Communication with and control of underwater autonomous vehicles is complicated by the nature of the water medium which absorbs radio waves over short distances and which introduces severe limitations on the bandwidth of sound-based technologies. Given the limitations of acoustic and radio frequency (RF) communication underwater, light-based communication has also been used. Light-based communication is also emerging as an effective strategy for terrestrial communication. Can the emerging Light Fidelity (Li-Fi) communication standard be exploited underwater to enable devices in close proximity to communicate by light? This paper describes the development of the LightByte Li-Fi model for underwater use and experimental evaluation of its performance both terrestrially and underwater. Copyright © 2018 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved","Conference paper","Final","Scopus"
"Tracking 3D LIDAR Point Clouds Using Extended Kalman Filters in KITTI Driving Sequences","2018","Proceedings - IEEE Global Communications Conference, GLOBECOM","10.1109/GLOCOM.2018.8647803","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063452158&doi=10.1109%2fGLOCOM.2018.8647803&partnerID=40&md5=58da83de9feefc12c5a98cf4d64d4eca","In this paper, we present a novel approach to track recognized 3D vehicle point clouds from LIDAR scans. This technique is based on tracing the 3D anchor boxes of these vehicles, recognized though convolutional neural networks (CNNs). Exploiting the 3D CNNs detection of vehicles and persons, and the Extended Kalman Filters (EKF) two-steps process for prediction and update, the proposed scheme guarantees the awareness of moving detected objects and improves the perception of Autonomous Vehicles (AV). The proposed scheme reduces the usage of the expensive detection process of feeding the point cloud to CNN by tracking the 3D rectangular coordinates containing already detected objects from early Velodyne scans of the driving sequences. The testing of the proposed method on the well-known KITTI dataset, featuring LIDAR scans of realistic vehicular environments. Results show the merits of the proposed scheme in achieving high tracking accuracy. © 2018 IEEE.","Conference paper","Final","Scopus"
"Analysis and verification of cost-effective design modifications to commercially available fixed-wing unmanned aerial vehicle to improve performance, stability and control characteristics, and structural integrity","2018","AIAA Information Systems-AIAA Infotech at Aerospace, 2018","10.2514/6.2018-2261","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141595046&doi=10.2514%2f6.2018-2261&partnerID=40&md5=497e61f8f7f6678375f5c296487a885b","In this work, several cost-effective design modifications were made to a commercially available fixed-wing unmanned aerial vehicle in order to improve overall performance and reliability. These modifications included the addition of 3D-printed winglets to improve aerodynamic performance, applying fiberglass reinforcement to areas of structural concern, the addition of rudder control surfaces for improved control authority, increasing the length of the empennage booms for both stability and control improvements, and the addition of dorsal fins to improve vertical fin stall characteristics. Design methodology and manufacturing processes were outlined, a cost breakdown was presented, and results from dynamic analysis were validated through extensive flight testing of the modified aircraft. © 2018 by the American Institute of Aeronautics and Astronautics, Inc. All rights reserved.","Conference paper","Final","Scopus"
"RINA, Royal Institution of Naval Architects - Smart Ship Technology 2018, Papers","2018","RINA, Royal Institution of Naval Architects - Smart Ship Technology 2018, Papers","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064708836&partnerID=40&md5=da64f02005c843090657deb44a640c74","The proceedings contain 14 papers. The topics discussed include: exploiting machine learning for ship systems anomaly detection and healthiness forecasting; on-board monitoring data analysis based on kernel regression model: analysis of shaft power component; ship machinery fuzzy condition based maintenance; autonomous marine navigation in global navigation satellite system (GNSS) denied environments; implementing unsupervised learning algorithm for marine engine data clustering applications; user interface for big data analytics in shipping; gaming technologies; are we on the brink of a new age of human interaction with naval ships?; a risk-informed decision support tool for holistic management of fatigue design, inspection and maintenance; and the path to real world autonomy for autonomous surface vehicles.","Conference review","Final","Scopus"
"Maximizing forest value through using Sentinel-2 in combination with hyperspectral UAVs","2018","Proceedings of the International Astronautical Congress, IAC","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065334190&partnerID=40&md5=effdfee8b8083f2fe47089994d80d209","The global forest economy is subject to a number of threats to its production value. Forest diseases keep emerging due to globalisation and climate change - they are difficult to contain and mitigate. According to FAO, in the period 1980-2002 more than 52 mill. hectares of forest in 37 countries were damaged by pests. Now the Pine Wilt Nematode is estimated to have the potential to spread to 34% of Europe by 2030. These changes are costing not only society, but also forest owners and managers. In Portugal, forest owners are fined 44,000 EUR by the government if they do not clear-cut diseased trees within 15 days. Forest fires are escalating in severity and costs due to climate changes. Europe lost in 2017 three times as large an area to forest fires than during the period 2008-2016 in total. The forest fires cost Portugal alone more than 200 mill. EUR and killed at least 66 people in 2017. These threats to the forest economy require accurate, precise and frequent information for monitoring their status and planning any relevant mitigation actions. Sentinel-2 becoming operational in 2015, and the impressive results of deep learning techniques, served as an ideal starting point for the automated forest monitoring service Silvisense. As its products were demonstrated with pilot customers in Portugal and Norway, it became clear that adding airborne hyperspectral acquisitions would increase the capacity to detect disease outbreaks at an earlier stage. An earlier detection would enable more efficient mitigation measures to take place and preserve a greater volume of high quality standing wood. This is the basis for the H2020 project FOCUS. The paper describes how FOCUS is expected to add value to forest monitoring in Europe through enhancing interpretation of Sentinel-2 satellite data by combining it with hyperspectral airborne measurements. Copyright © 2018 by the International Astronautical Federation (IAF). All rights reserved.","Conference paper","Final","Scopus"
"Autonomous close-proximity operations in space: The PRoBa-3 rendezvous experiment (P3RVX)","2018","Proceedings of the International Astronautical Congress, IAC","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065286693&partnerID=40&md5=44231c4e8580e0eed1d905d56b4b33e3","Proba-3 is a Formation Flying (FF) technology demonstration mission from ESA. The main mission, covers the design, development, and in-fight operation of two small satellites, for the full-scale test and validation of FF mission architectures and techniques. Proba-3 has just finished the design phase and it is now starting the manufacturing and verification phase D aiming at launch before beginning of the next decade. The Proba-3 mission also offers a unique opportunity to test other technologies, including to perform Relative Dynamics Experiments (RDE). The Proba-3 RendezVous eXperiment (P3RVX) takes advantage of this opportunity to exploit the suitability of Proba-3 for the maturation of RV technology, in particular with non-cooperative targets, with two satellites, in a highly elliptical orbit (perigee and apogee height of 600 and 60,530 km, respectively), using optical Navigation. The P3RVX consortium is led by DEIMOS and includes the Technical University of Denmark (DTU) and University Politehnica of Bucharest/Institute of Space Sciences (UPB/ISS). This paper provides an overview of the P3RVX, which aims to perform in-orbit demonstrations of the Guidance, Navigation, and Control (GNC) subsystem (including the Fault Detection, Isolation, and Recovery (FDIR) functions), the operations, the autonomy approach, and the Verification and Validation (VV), for missions in highly-elliptical orbits with fast and time-varying dynamics. This includes, in addition, the in-flight testing of DTU's Vision Based System (VBS) software for non-cooperative scenarios. Typical close-proximity operations are considered, including non-cooperative rendezvous and forced-motion (inspection, approach/retreat, and station-keeping) maneuvers during perigee, with the latter being performed both in eclipse and in Sun-illuminated conditions. These high-level mission requirements are translated into the design of trajectories satisfying a number of constraints. In-house-developed tools are adopted to solve this problem, ensuring that the trajectories are passively safe - whenever possible - in case of an inhibiting failure. Moreover, trajectory design is required to consider the limitations of actuators, as well as sensors. The outcomes of P3RVX are aligned with ESA technology lines and, as such, are expected to have a significant impact on the community. In particular, in-orbit demonstration of autonomous GNC for elliptical orbits (in both fast and slow dynamic regions) and autonomous non-cooperative close-proximity GNC using a camera; provide technology developments generally applicable to future programs; and a significant maturation of these technologies, needed to support short- and medium-term Clean Space and ADR lines, as well as the development of Space Service Vehicles (SSVs). Copyright © 2018 by Elecnor Deimos. Published by the IAF, with permission and released to the IAF to publish in all forms.","Conference paper","Final","Scopus"
"An MEC-Based DoS Attack Detection Mechanism for C-V2X Networks","2018","Proceedings - IEEE Global Communications Conference, GLOBECOM","10.1109/GLOCOM.2018.8647323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063528107&doi=10.1109%2fGLOCOM.2018.8647323&partnerID=40&md5=03fe497f953df559c75262a5921802d0","Cellular Vehicle-to-Everything (C-V2X) as a wireless communication technology has been widely investigated to guarantee road safety and support autonomous driving. Nevertheless, due to high-mobility of nodes and time-varying topology of networks, C-V2X networks always face many security threats. We identify a new Denial of Service (DoS) attack in which a small number of nodes maliciously reserve the communication resources in a C-V2X network by requesting high priority V2X services frequently. A malicious vehicle detection scheme is then developed to defend against this attack. Different from the detection methods based on traffic analysis, the Mobile Edge Computing (MEC) server only needs to focus on detecting nodes with high malicious probability in our scheme. Thus, we propose a model to estimate the probability that a node is malicious based on its communication resources consumption state. Simulation results demonstrate not only the feasibility of our attack but also desirable performance of the proposed malicious node detection mechanism. © 2018 IEEE.","Conference paper","Final","Scopus"
