2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)	88
2022 IEEE 95th Vehicular Technology Conference: (VTC2022-Spring)	87
GLOBECOM 2022 - 2022 IEEE Global Communications Conference	70
Proceedings of SPIE - The International Society for Optical Engineering	53
2021 International Conference on Unmanned Aircraft Systems (ICUAS)	47
ICC 2020 - 2020 IEEE International Conference on Communications (ICC)	42
IEEE Vehicular Technology Conference	41
2020 IEEE International Conference on Robotics and Automation (ICRA)	39
2021 60th IEEE Conference on Decision and Control (CDC)	37
2024 IEEE Intelligent Vehicles Symposium (IV)	36
Proceedings - IEEE International Conference on Robotics and Automation	35
Global Oceans 2020: Singapore – U.S. Gulf Coast	34
IEEE International Conference on Intelligent Robots and Systems	29
2024 AIAA DATC/IEEE 43rd Digital Avionics Systems Conference (DASC)	29
IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC	29
2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC)	28
2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	28
2021 American Control Conference (ACC)	27
Proceedings of the International Joint Conference on Neural Networks	26
IEEE International Conference on Communications	25
CEUR Workshop Proceedings	24
2024 43rd Chinese Control Conference (CCC)	23
Chinese Control Conference, CCC	22
2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)	22
2021 IEEE Aerospace Conference (50100)	21
ACM International Conference Proceeding Series	20
2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC)	20
IEEE Intelligent Vehicles Symposium, Proceedings	19
2022 IEEE International Conference on Unmanned Systems (ICUS)	19
Journal of Physics: Conference Series	18
MILCOM 2022 - 2022 IEEE Military Communications Conference (MILCOM)	18
2017 IEEE International Conference on Communications (ICC)	18
AIAA SciTech Forum and Exposition, 2024	17
Proceedings - IEEE Global Communications Conference, GLOBECOM	17
Proceedings of 2024 IEEE International Conference on Unmanned Systems, ICUS 2024	17
2019 15th International Wireless Communications & Mobile Computing Conference (IWCMC)	17
2021 IEEE Wireless Communications and Networking Conference (WCNC)	17
Proceedings of Machine Learning Research	16
2019 Chinese Automation Congress (CAC)	16
2023 IEEE/CVF International Conference on Computer Vision (ICCV)	16
2024 IEEE 20th International Conference on Automation Science and Engineering (CASE)	15
Oceans Conference Record (IEEE)	15
2021 21st International Conference on Control, Automation and Systems (ICCAS)	15
2022 34th Chinese Control and Decision Conference (CCDC)	15
2023 IEEE International Conference on Robotics and Automation (ICRA)	15
2024 International Conference on Unmanned Aircraft Systems, ICUAS 2024	14
2023 14th International Conference on Information and Communication Technology Convergence (ICTC)	14
